Sample_name,Day,Location,Source,Inoculum_density,Plate_position
HS3_S_0001,2,a2,soil,1,1
HS3_S_0002,2,c2,soil,1,1
HS3_S_0003,2,e2,soil,1,1
HS3_S_0004,2,g2,soil,1,1
HS3_S_0005,2,i2,soil,1,1
HS3_S_0006,2,k2,soil,1,1
HS3_S_0007,2,m2,soil,1,1
HS3_S_0008,2,o2,soil,1,1
HS3_S_0009,2,a4,soil,1,1
HS3_S_0010,2,c4,soil,1,1
HS3_S_0011,2,e4,soil,1,1
HS3_S_0012,2,g4,soil,1,1
HS3_S_0013,2,i4,soil,1,1
HS3_S_0014,2,k4,soil,1,1
HS3_S_0015,2,m4,soil,1,1
HS3_S_0016,2,o4,soil,1,1
HS3_S_0017,2,a6,soil,1,1
HS3_S_0018,2,c6,soil,1,1
HS3_S_0019,2,e6,soil,1,1
HS3_S_0020,2,g6,soil,1,1
HS3_S_0021,2,i6,soil,1,1
HS3_S_0022,2,k6,soil,1,1
HS3_S_0023,2,m6,soil,1,1
HS3_S_0024,2,o6,soil,1,1
HS3_S_0025,2,a8,soil,1,1
HS3_S_0026,2,c8,soil,1,1
HS3_S_0027,2,e8,soil,1,1
HS3_S_0028,2,g8,soil,1,1
HS3_S_0029,2,i8,soil,1,1
HS3_S_0030,2,k8,soil,1,1
HS3_S_0031,2,m8,soil,1,1
HS3_S_0032,2,o8,soil,1,1
HS3_S_0033,2,a10,soil,1,1
HS3_S_0034,2,c10,soil,1,1
HS3_S_0035,2,e10,soil,1,1
HS3_S_0036,2,g10,soil,1,1
HS3_S_0037,2,i10,soil,1,1
HS3_S_0038,2,k10,soil,1,1
HS3_S_0039,2,m10,soil,1,1
HS3_S_0040,2,o10,soil,1,1
HS3_S_0041,2,a12,soil,1,1
HS3_S_0042,2,c12,soil,1,1
HS3_S_0043,2,e12,soil,1,1
HS3_S_0044,2,g12,soil,1,1
HS3_S_0045,2,i12,soil,1,1
HS3_S_0046,2,k12,soil,1,1
HS3_S_0047,2,m12,soil,1,1
HS3_S_0048,2,o12,soil,1,1
HS3_S_0049,2,a14,soil,1,1
HS3_S_0050,2,c14,soil,1,1
HS3_S_0051,2,e14,soil,1,1
