Run,Assay Type,AvgSpotLen,Bases,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_store_temp,Sample Name,Sample_name,SRA Study,temp
DRR711698,AMPLICON,246,265809,SAMD01601934,MIMS.me.miscellaneous,242407,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691719,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0001,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:03:00Z,1,-20,SAMD01601934,HS3_S_0001,DRP017300,30
DRR711702,AMPLICON,246,247755,SAMD01601938,MIMS.me.miscellaneous,249588,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691723,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0005,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:59:00Z,1,-20,SAMD01601938,HS3_S_0005,DRP017300,30
DRR711706,AMPLICON,246,64103,SAMD01601942,MIMS.me.miscellaneous,131686,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691727,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0009,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:02:00Z,1,-20,SAMD01601942,HS3_S_0009,DRP017300,30
DRR711708,AMPLICON,246,208516,SAMD01601944,MIMS.me.miscellaneous,232268,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691729,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0011,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:03:00Z,1,-20,SAMD01601944,HS3_S_0011,DRP017300,30
DRR711709,AMPLICON,246,293936,SAMD01601945,MIMS.me.miscellaneous,257269,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691730,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0012,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:58:00Z,1,-20,SAMD01601945,HS3_S_0012,DRP017300,30
DRR711711,AMPLICON,246,332620,SAMD01601947,MIMS.me.miscellaneous,288491,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691732,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0014,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:05:00Z,1,-20,SAMD01601947,HS3_S_0014,DRP017300,30
DRR711712,AMPLICON,246,302932,SAMD01601948,MIMS.me.miscellaneous,261056,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691733,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0015,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:58:00Z,1,-20,SAMD01601948,HS3_S_0015,DRP017300,30
DRR711715,AMPLICON,246,193575,SAMD01601951,MIMS.me.miscellaneous,195621,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691736,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0018,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:59:00Z,1,-20,SAMD01601951,HS3_S_0018,DRP017300,30
DRR711718,AMPLICON,246,318554,SAMD01601954,MIMS.me.miscellaneous,269867,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691739,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0021,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:04:00Z,1,-20,SAMD01601954,HS3_S_0021,DRP017300,30
DRR711719,AMPLICON,246,325414,SAMD01601955,MIMS.me.miscellaneous,282855,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691740,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0022,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:03:00Z,1,-20,SAMD01601955,HS3_S_0022,DRP017300,30
